geo_cluster,n_stops,n_station_ids_tras_paso2,n_agencias,agencias,nombres
24,3,3,2,"['RTP', 'TROLE']","['Calz. Ermita Iztapalapa - Calle 39', 'Calz. Ermita Iztapalapa - Cuitlahuac', 'Meyehualco']"
2754,3,3,2,"['CBB', 'RTP']","['Av. del País', 'Año de 1857', 'Santa María Ticomán']"
2783,3,2,2,"['CC', 'TROLE']","['Los Pinos', 'Sobre Av. División del Norte y los Pinos']"
2828,3,3,2,"['CC', 'TROLE']","['Eje 9 Sur Calz. Taxqueña - Cerro Quetzal', 'Eje 9 Sur Calz. Taxqueña - Refinería Minatitlán', 'Petróleos Mexicanos']"
2836,3,2,2,"['CC', 'TROLE']","['Av. Tláhuac - Progreso', 'Progreso']"
2454,3,3,2,"['CC', 'RTP']","['Fraccionamiento Ex Hacienda Tarango', 'Frente a No. 3050', 'Walmart Centenario Sur']"
2838,3,3,2,"['CC', 'TROLE']","['Cerro del Cubilete', 'Eje 9 Sur Calz. Taxqueña - Cerro de la Estrella', 'Eje 9 Sur Calz. Taxqueña - Refinería Azcapotzalco']"
1184,3,3,2,"['CC', 'RTP']","['Calz. de la Viga - Playa Villa del Mar', 'Calz. de la Viga - Purísima', 'La Viga y Playa Villa del Mar']"
1186,3,3,2,"['CC', 'RTP']","['Calz. de la Viga - Juan Alvarez', 'Calz. de la Viga - Playa Erizo', 'La Viga y Playa Erizo']"
1187,3,2,2,"['CC', 'RTP']","['Calz. de la Viga - Santiago', 'La Viga y Santiago']"
1188,3,3,2,"['CC', 'RTP']","['Calz. de la Viga - Francisco I. Madero', 'Calz. de la Viga - Ignacio López Rayon', 'La Viga y López Rayón']"
1189,3,3,2,"['CC', 'RTP']","['Calz. de la Viga - Recreo', 'Calz. de la Viga - San Francisco', 'La Viga y Recreo']"
215,3,3,2,"['CC', 'RTP']","['Av. Jose Marti', 'Av. Revolución', 'José Martí']"
214,3,3,2,"['CC', 'RTP']","['Av. Revolución - Héroes de Padierna', 'Heroes de 1810', 'Héroes de Padierna']"
209,3,3,2,"['CC', 'RTP']","['Av. Revolución - Rembrandt', 'Rembrandt', 'Revolución y Rembrandt']"
208,3,2,2,"['CC', 'RTP']","['Murillo', 'Revolución y Murrillo']"
2450,3,2,2,"['CC', 'RTP']","['Conalep', 'Conalep A. Obregon']"
2448,3,2,2,"['CC', 'RTP']","['Loma Escondida', 'Lomas de Anahuac']"
2446,3,2,2,"['CC', 'RTP']","['Base Tepeaca', 'Herradero y Frente a Presa Mixcoac']"
2441,3,3,2,"['CC', 'RTP']","['Calz. De las Arcadas', 'Colina de Montecarlo', 'Montecarlo']"
2440,3,2,2,"['CC', 'RTP']","['Cda. Centenario', 'Cerrada de Centenario']"
2439,3,2,2,"['CC', 'RTP']","['Loma Nueva', 'Lomas del Angel']"
2438,3,2,2,"['CC', 'RTP']","['Frente a Pemex', 'Loma del Angel']"
2371,3,3,2,"['CC', 'RTP']","['Base Milpa Alta', 'Michoacan Oriente y Sonora Norte', 'México Norte y Michoacán Ote.']"
256,3,3,2,"['CC', 'RTP']","['Av. Insula', 'Insula', 'Punto 33']"
1020,3,3,2,"['CC', 'TROLE']","['Bélgica', 'Municipio Libre y Balboa', 'Municipio Libre y Rumania']"
1013,3,3,3,"['CC', 'METRO', 'RTP']","['Calz. Ermita Iztapalapa - Metro Iztapalapa', 'Ermita I. y Metro Iztapalapa', 'Iztapalapa']"
1305,3,3,2,"['METRO', 'RTP']","['Av. Tláhuac - Juan Patricio', 'Av. Tláhuac - Zacatlan', 'Tezonco']"
1303,3,3,2,"['METRO', 'RTP']","['Av. Tláhuac - Arabella', 'Av. Tláhuac - General Manuel Flores', 'Nopalera']"
1300,3,3,2,"['METRO', 'RTP']","['Antonio Bejar', 'C. C. Metro Tláhuac - CETRAM Tláhuac', 'Tláhuac']"
1290,3,2,2,"['CC', 'RTP']","['Av. Progreso Nacional', 'Eje Central y Progreso Nacional']"
1263,3,2,2,"['CC', 'MB']","['Cuahutémoc', 'Cuahutémoc ', 'Ponciano Arriaga y Luis Donaldo Colosio']"
1261,3,3,3,"['CC', 'METRO', 'RTP']","['CETRAM Toreo', 'Cuatro Caminos', 'Ingenieros Militares - Río Pilcomayo']"
1102,3,2,2,"['CC', 'TROLE']","['Av. Morelos e Industria', 'Industria']"
1100,3,2,2,"['CC', 'TROLE']","['Av. Morelos y Fernando Iglesias', 'Fernando Iglesias']"
1098,3,2,2,"['CC', 'TROLE']","['Añil y Palacio de los Deportes', 'Añil y Puerta 6', 'Palacio de los Deportes']"
1003,3,3,2,"['CC', 'RTP']","['Av. Popocatepetl - Bruno Traven', 'Eje 8 Popocatepetl - Pirineos', 'José María Rico y Bruno Traven']"
1000,3,2,2,"['CC', 'RTP']","['Av. Popocatepetl - Canarias', 'Eje 8 Popocatepetl - Canarias', 'José María Rico y Rumania']"
999,3,2,2,"['CC', 'RTP']","['Av. Popocatepetl - Alhambra', 'Eje 8 Popocatepetl - Alhambra', 'José María Rico y Alhambra']"
998,3,2,2,"['CC', 'RTP']","['Calz. Ermita Iztapalapa - Plutarco Elias Calles', 'Ermita y Plutarco Elias Calles']"
1332,3,3,2,"['METRO', 'RTP']","['Calz. Ignacio Zaragoza  - Juan C. Bonilla', 'Calz. Ignacio Zaragoza - Guelatao ', 'Guelatao']"
1318,3,2,2,"['METRO', 'RTP']","['Av. 608', 'Villa de Aragon', 'Villa de Aragón']"
1317,3,2,2,"['METRO', 'RTP']","['Av. 603', 'Av. 613', 'Bosque de Aragón']"
